dato;id;navn;mærke;kategori;pris;førpris;besparelse_kr;besparelse_pct;på_lager;url
2026-05-06;4150868;"HP Laptop 15-fc0485no 15,6"" bærbar pc";Hewlett-Packard;Bærbar PC;3499.0 kr;5999.0 kr;2500 kr;42%;3;
2026-05-06;4126612;"Lenovo IdeaPad Slim 3 14IRH10 (I7/16/512 GB) 14"" bærbar pc, Cosmic blue";Lenovo;Bærbar PC;4499.0 kr;7699.0 kr;3200 kr;42%;17;
2026-05-06;4053542;"Lenovo Chromebook Plus 14"" bærbar pc";Lenovo;Bærbar PC;4790.0 kr;5999.0 kr;1209 kr;20%;3;
2026-05-06;4042892;"Apple MacBook Air 13"" (2025, M4) 24/512 GB, midnat";Apple;Bærbar PC;10991.0 kr;12999.0 kr;2008 kr;15%;0;
2026-05-06;3978549;"Lenovo IdeaPad Slim 5 14KP10 (AI 5) 14"" Copilot+ PC";Lenovo;Bærbar PC;5999.0 kr;7998.0 kr;1999 kr;25%;0;
2026-05-06;4042893;"Apple MacBook Air 13"" (2025, M4) 24/512 GB, himmelblå";Apple;Bærbar PC;10991.0 kr;12999.0 kr;2008 kr;15%;0;
2026-05-06;4196987;"Apple MacBook Pro 14"" (2025, M5) 16/512 GB, sølv";Apple;Bærbar PC;13999.0 kr;13999.0 kr;;;0;
2026-05-06;4042907;"Apple MacBook Air 15"" (2025, M4) 24/512 GB, stjerneskær";Apple;Bærbar PC;12991.0 kr;14999.0 kr;2008 kr;13%;0;
2026-05-06;4089279;"Lenovo IdeaPad 5 2-in-1 14Q8X9 14"" Copilot+ PC";Lenovo;Bærbar PC;9499.0 kr;9499.0 kr;;;0;
2026-05-06;2832030;"Apple iMac 24"" (2023) 256 GB MQRQ3DK, blå";Apple;Stationær PC;11000.0 kr;12899.0 kr;1899 kr;15%;0;
2026-05-06;4092015;ASUS NUC 12 PRO SLIM KIT RNUC12WSKI700002I mini PC;Asus;Erhvervs stationær PC;3791.0 kr;5499.0 kr;1708 kr;31%;0;
2026-05-06;1221623;"RePOWER MacBook Air 13,3"" 128 GB, silver";Apple;RePOWER bærbar PC;3491.0 kr;3999.0 kr;508 kr;13%;0;
2026-05-13;4126612;"Lenovo IdeaPad Slim 3 14IRH10 (I7/16/512 GB) 14"" bærbar pc, Cosmic blue";Lenovo;Bærbar PC;4499.0 kr;7699.0 kr;3200 kr;42%;13;
2026-05-13;4150868;"HP Laptop 15-fc0485no 15,6"" bærbar pc";Hewlett-Packard;Bærbar PC;3499.0 kr;5999.0 kr;2500 kr;42%;2;
2026-05-13;4092015;ASUS NUC 12 PRO SLIM KIT RNUC12WSKI700002I mini PC;Asus;Erhvervs stationær PC;3791.0 kr;5499.0 kr;1708 kr;31%;0;
2026-05-13;4042893;"Apple MacBook Air 13"" (2025, M4) 24/512 GB, himmelblå";Apple;Bærbar PC;10991.0 kr;12999.0 kr;2008 kr;15%;0;
2026-05-13;4196987;"Apple MacBook Pro 14"" (2025, M5) 16/512 GB, sølv";Apple;Bærbar PC;13999.0 kr;13999.0 kr;;;0;
2026-05-13;4053542;"Lenovo Chromebook Plus 14"" bærbar pc";Lenovo;Bærbar PC;4790.0 kr;5999.0 kr;1209 kr;20%;2;
2026-05-13;4089279;"Lenovo IdeaPad 5 2-in-1 14Q8X9 14"" Copilot+ PC";Lenovo;Bærbar PC;9499.0 kr;9499.0 kr;;;0;
2026-05-13;2832030;"Apple iMac 24"" (2023) 256 GB MQRQ3DK, blå";Apple;Stationær PC;11000.0 kr;12899.0 kr;1899 kr;15%;0;
2026-05-13;1221623;"RePOWER MacBook Air 13,3"" 128 GB, silver";Apple;RePOWER bærbar PC;3491.0 kr;3999.0 kr;508 kr;13%;0;
2026-05-18;4126612;"Lenovo IdeaPad Slim 3 14IRH10 (I7/16/512 GB) 14"" bærbar pc, Cosmic blue";Lenovo;Bærbar PC;4499.0 kr;7699.0 kr;3200 kr;42%;5;
2026-05-18;4150868;"HP Laptop 15-fc0485no 15,6"" bærbar pc";Hewlett-Packard;Bærbar PC;3499.0 kr;5999.0 kr;2500 kr;42%;1;
2026-05-18;4053542;"Lenovo Chromebook Plus 14"" bærbar pc";Lenovo;Bærbar PC;4790.0 kr;5999.0 kr;1209 kr;20%;1;
2026-05-18;4042893;"Apple MacBook Air 13"" (2025, M4) 24/512 GB, himmelblå";Apple;Bærbar PC;10991.0 kr;12999.0 kr;2008 kr;15%;0;
2026-05-18;2905987;"Cepter Cloud (256 GB) 15,6"" bærbar PC";Cepter;Bærbar PC;2791.0 kr;4799.0 kr;2008 kr;42%;0;
2026-05-18;2290198;"Lenovo IdeaPad Slim 3 Chromebook 14M868 128 GB 14"" bærbar PC";Lenovo;Bærbar PC;1791.0 kr;2698.0 kr;907 kr;34%;0;
2026-05-18;4126595;"Lenovo IdeaPad Slim 3 15AMN8 (R5/8/256 GB) 15,6"" bærbar pc, Abyss blue";Lenovo;Bærbar PC;2991.0 kr;4899.0 kr;1908 kr;39%;0;
2026-05-18;3277635;"ASUS ProArt PZ13 HT5306QA-LX002W 13"" Copilot+ PC";Asus;Bærbar PC;7491.0 kr;10799.0 kr;3308 kr;31%;0;
2026-05-18;4042906;"Apple MacBook Air 15"" (2025, M4) 24/512 GB, sølv";Apple;Bærbar PC;12991.0 kr;14999.0 kr;2008 kr;13%;0;
2026-05-18;2832030;"Apple iMac 24"" (2023) 256 GB MQRQ3DK, blå";Apple;Stationær PC;11000.0 kr;12899.0 kr;1899 kr;15%;0;
2026-05-18;4092015;ASUS NUC 12 PRO SLIM KIT RNUC12WSKI700002I mini PC;Asus;Erhvervs stationær PC;3791.0 kr;5499.0 kr;1708 kr;31%;0;
2026-05-18;3776297;Cepter Quantum stationær PC;Cepter;Stationær PC;2191.0 kr;3499.0 kr;1308 kr;37%;0;
2026-05-18;1221623;"RePOWER MacBook Air 13,3"" 128 GB, silver";Apple;RePOWER bærbar PC;3491.0 kr;3999.0 kr;508 kr;13%;0;
